stopword removal,score,Sentiment
bagus bgt membantu,5,Positif
ntah kartu simpel ga login livin aneh,1,Negatif
parah banget jam ajah narik dana kaga mulu kudu nunggu jam malem parah narik dana parah parah,1,Negatif
andalan banget,5,Positif
sy bikin hp dipake main anak pencet jd g masuk bikin sandi ulang masukin nomer kartu sy bikin via online sy kartunya,2,Negatif
susah bgt verfikaai wjah berulangmasih aja ngga,4,Positif
livin login berhasil login pagi bgtuu terusss sumpah kecewa bangtt,1,Negatif
customer bank mandiri login akun ngak karna aksesnya blum dibuka membuka akses kali mandiri ngak login kendalanya akses blum dibuka develornya tolong apknya diperbaiki,3,Positif
login verivikasi wajah gagal hp normal kamera jernih jaringan aman,1,Negatif
force close,1,Negatif
membantu,5,Positif
susah masuknya,5,Positif
knp skrng gak login,1,Negatif
aplikasi berguna,5,Positif
susah masuknya,1,Negatif
livin dibuka alasan perangkat hp resmi,1,Negatif
kenap seriap masuk selaly perbaikan urgen pake tolong perbaiki kaya gini susah kalo pake bukqn nya mempermudah ribet sulit,1,Negatif
sistem livin by mandiri handphone tolong diperbaiki jaringannya ngecek pembayaran kartu kredit sistem jaringannya trouble eror gak tau update terbaru pembayaran kartu kreditnya warning banget nech bank mandiri sistem jaringannya suka trouble eror thank you,5,Positif
versi notif utk update versi apli tdk ket prangkat hp tdk mendukung nasabah beli hp,5,Positif
kartu eror narik uang aplikasi livin ngebug hape compatible hape aplikasi bca cimb aplikasi livin gak aduh gak dimana yg namanya bumn ruwet ruwet,1,Negatif
ga daftar,1,Negatif
susah buka livin,3,Positif
livin ga dibuka dibuka bilangnya akun keamanan sesuai perintah ga banking mobile aman aja,1,Negatif
mohon tingkatkan keamanannya log in jam historinya terbuka parah login jam siang jam jam sore history terbuka aplikasi bank sebelah aja menit udah login ulang,1,Negatif
aplikasi diblokir telp mahal pake indosat tersambung mudah kantor maintenance terang kecewa mandiri ditarik otomatis uninstall livin mandiri bank mempermudah nasabah,1,Negatif
login pake nomor hp ga,5,Positif
gak login livin mandiri keterangan layanan tersedia disuruh kantor cabang bank posisi negeri tolong solusinya bermasalah login udah masukkan nomor hp,1,Negatif
gaje banget banget gabisa login,1,Negatif
gk login lengkap blokir,1,Negatif
coba verifikasi wajah kesekian kalinya jg penggunaannya mudah fitur disediakan lumayan,5,Positif
gagal daftar nya,1,Negatif
layanan yg,5,Positif
menu login aplikasi dihapus login ulang,1,Negatif
membantu sgala keperluan sehari dg mudah trimakasih,5,Positif
kaga login,1,Negatif
ga masuk ko mulu,1,Negatif
aplikasi eror udah foto e ktp tinggal verifikasi wajah suruh mengulang o aplikasi begok,1,Negatif
kartu kirim kirimnya,5,Positif
buruk gak masuk masuk langsung,1,Negatif
trimakasihtapi nya lupa paswordnyaikon sidik jarinya kadang hilang tampilanmungkin keamananjadi ganti pasword,5,Positif
goedd,4,Positif
tp gangguan klo transaksi malam gagal,4,Positif
kenapaa livin diinstal jadii bingung pdahal kmaren lagii kokgituh,2,Negatif
pelayanan buruk solusi lempar debit potongan debit,1,Negatif
gk tarik kartu error nomor terdaftar pas ganti nomor aplikasi error nomor terdaftar,1,Negatif
tolong udah minggu gangguan aktifitas terganggu,1,Negatif
xiaomi t,1,Negatif
bantuan nya livin ko gx fransfer,5,Positif
tolong bi fast gratis,3,Positif
kesal aplikasi saudara butuh tf darurat daftar tf saudara orang tf hilang ga daftar tf,1,Negatif
tingkatkan bank mandiri lets go,5,Positif
kalo udah jam nyampe jam gak transfer yaa,5,Positif
gangguan jam keatas klo transfer gangguan mulu,1,Negatif
apliksaih nya parah klo jm malam gak tf sakit apliksih gini,1,Negatif
livin sampah pembayaran tertunda saldo kepotong sampah,1,Negatif
top up bikin kesel sh min nomor bener tetep gk,2,Negatif
maintenance malam mengganggu,1,Negatif
aplikasi jam segini maintenance,5,Positif
sistemnya kagak pinter gedek,1,Negatif
sy kecewa aplikasi gak fitur pinjaman serba gunanyapadahal biaya transaksinya mahal sy bertransaksi dg alpikasi tp gak nongol fitur pinjaman serbagunanyasy bener bener kecewa deh udah pakai livin,1,Negatif
dah login aja susah pake tulisan sistem operasi mendukung pas bank hp nya bermasalah sekalinya udah ganti hp aja hp infinix hot pro tolong developer penyebab nya capek gonta ganti hp,3,Positif
salah sandi langsung blok nmr nya hadeh mn males bngt ngaktifin nya,1,Negatif
lancar cepat responnya,5,Positif
registrasi ulang ribet boss bank himbala niat ga bikin aplikasi ruwett,1,Negatif
aneh ga buka ga kerja tutup aja tuh bank,1,Negatif
download hp redmi note,1,Negatif
susah masuknya verifikasi wajah kali masuk dibuka gak unistal gk,2,Negatif
pls atmin gabisa login lupa rek sm cvc nya gada opsi,1,Negatif
live agent whatsapp jam not standby huuuuuuu ganti pin,1,Negatif
login gimana dahh,3,Positif
aplikasi busuk masuk aja ngak verif bikin emosi,1,Negatif
jgn top up livin mandiri setey saldo gk beli pulsa gk beli emoney gk gk hati hati dgn aplikasi simpan uang aplikasi oh bocoran aplikasi bank palsu,1,Negatif
login ulang aja udah minggu tampilannya sistem diperbaiki diperbaiki,1,Negatif
gimna nya bosgak ngerti,2,Negatif
kecewa gagal buka livin coba aja kmrn coba ngga bis transaksimau transfer i gak terdekat haduhh tolong donk perbaiki kendala,1,Negatif
kartu kredit digital mendaftar aktif dipakaipengalaman pembayaran pakai qris sengaja pengaturan pembayaran memakai kredit pembaruan aplikasianehnya langsung terpakai aktivasipenutupan bankmenyusahkan,1,Negatif
tolong evaluasi aplikasimassa logout akun sendri masukin password lagiterus lupa password pas masuk nomor kartu kartunya kirim,1,Negatif
download,1,Negatif
kagak masuk menu error gimana aplikasi,1,Negatif
ribet tiru mobile bca top up ewallet minimal rb minim rb haduh menjerat klo cr uang,1,Negatif
membantu bentuk pinjaman sayang caramengambil pinjaman cuman ansurankadang angsuran dikembalikan nunggu pembayaran jatuh tempo,5,Positif
aplikasi aneh gak narik uang,1,Negatif
susahlog ingk pilihan log inribet,1,Negatif
lupa password cek totorial daftar mengulang menu tolong solusinya,1,Negatif
livin terhubung udah komplain wa email mandiricare jawabannya hasil copy paste gk solusi yg orangnya beda email ditangani orang yg berbeda kali dibalas,1,Negatif
anehpaketan adawifi lancartp gagal terhubung,1,Negatif
logout tulisan selamat aplikasi livin mandiri pilihan rekening mandiri debitkredit mandiri gak logout kemarin gak login tolong gimana,3,Positif
firtur aplikasi pinjaman dana,1,Negatif
kalok topup dana sukak eror,5,Positif
dipake maintenance terosssss,1,Negatif
aplikasi yg terburuk daftar rekening langsung,1,Negatif
livin pinjam ksm mohon bantuannya,5,Positif
kali buka aplikasi android force close gimana dipake aplikasi nya kesini kacau aplikasi nya mudah sulit transaksi,2,Negatif
bagus,5,Positif
kaya pembayaran qris saldo sdah kepotong keterangan transaksi tertunda telpon cs suruh nunggu kerja gila bener aplikasi,1,Negatif
gampang banget,5,Positif
update sistem operasi android support masuk alasan sistem resmi,1,Negatif
moga lancar pindah perangkat ngga data pakai livin pindah perangkat perangkatnya tua pindah perangkat,5,Positif
update aplikasi livin pembayaran update,2,Negatif
aneh jir pngn masuk password nya udah bnr ubah pin,5,Positif
aplikasi mudah operasikan,5,Positif
cape banget buka rekening gagal seharian gagal perbaiki jgn kalah bank biru sebelah klo bikin rekening sat set langsung,1,Negatif
offline,1,Negatif
kebanyakan gangguannya,3,Positif
suka bnget eror heran,1,Negatif
kebanyakan offline cacad,1,Negatif
recommended,1,Negatif
tolong perbaiki mentenan mengganggu transaksi,4,Positif
bos tolong aplikasinya dibenerin udah gabisa masuk gagal tersambung udah email respon,1,Negatif
gk masuk dri kmaren isi pakai nomor debit,1,Negatif
notifikasi transaksii masuknya ilang susah transaksi online,1,Negatif
login livin udah masukin nmr kartu berlaku kartu masukin tgl lahir gk udah mausinnya udah gk tolong bank mandiri jgn mempersulit pengguna donk tolong diperbaiki,1,Negatif
langsung login login dasar aplikasi ampas knp sihh tdk langsung login pake emain pasword knp haruss masukkan no kartu no handphone sdh dimadukkan tpi kendala gk login butuh modal yg aplikasii aplikasii ampassss gk gunaaa,1,Negatif
jam aja gangguan,1,Negatif
aplikasi udah foto ktp rekening udh berhasil tp lg tampilan jd isi saldonya gmn,1,Negatif
jos banget buka rekening cepet banget,5,Positif
sdh uninstal aplikasi nya nitip data kak terima kasih team nya ramah bgt sukses trus,5,Positif
susah d pakai transaksi,1,Negatif
trima kasih,5,Positif
aplikasi nya gangguan nyaman nya,5,Positif
tolong donk mandiri daftr mandiri lwat onlen tp skrang daftr ga,5,Positif
bagus aplikasinya,5,Positif
biaya transaksi min,4,Positif
aplikasi bobrok verifikasi wajah aja ngulang berkalikali gak parah,1,Negatif
sdh mendownload aplikasi kali cm aplikasi buka aplikasi dipaksa berhenti,1,Negatif
buruksaya ga masukudh teler nya ga bia gimna,1,Negatif
knpa aplikasi pindah akun hp dah otp tp ketutup sbb sibuk ulang ulang aja gk,2,Negatif
login,1,Negatif
buka min,3,Positif
daftar acoun gagal mulu ulang ulang msh aja gagal apalah,5,Positif
lupa pasword ganti pake kartu kartu nya belom gada udh isi saldo tolong no hp ato gmail,2,Negatif
kartu kirimkan alamat sembarang orang kenal alamat pengiriman kasih nama trus akhirannya angka buruk,1,Negatif
transaksi,5,Positif
overall aplikasinya bagus respon agen csnya tanggapi keluhan pagi dibalas malam,1,Negatif
maaf tlong perbaiki bngt loging coba berjam jam sore siang,5,Positif
emang gak enak berhubungan ama berplat merah anggaran doang yg gedekualitas hancur,1,Negatif
alhamdulillah ndk ribet klo transfer bang,5,Positif
mandiri problem masuk m banking jaringan nya berhasil terhubung,1,Negatif
bayarva muncul tulisan transaksi diproses terusjadinya ga bayar apapun pake aplikasi livin,2,Negatif
tolong pilihan akses nomor kartu fisik kartu fisik rekening aplikasi livin by mandiri,1,Negatif
livin skr ga buka klo pakai wifi sii aduhhhhhhh,3,Positif
gimana pasword blokir kartu hilang,3,Positif
knp y pas apkanya sya buka menyal mulu gak bukak,4,Positif
livin mandiri bulak d hp android,3,Positif
penuh iklan,1,Negatif
daftar gak layanan tersedia gimana mengatasinya,1,Negatif
tolong nggak nomer rekeningnya kocak oi nggak pesan email mending perbaiki aja aneh emang,1,Negatif
pinjaman ksm,1,Negatif
layanan tap to pay kartu hp jaringan kendala,5,Positif
ribet bank nya,1,Negatif
knp kalo transfer ga,4,Positif
gk instal,5,Positif
coba yachh bagus bintang,3,Positif
aplikasinya nyaman bikin rekening aja ribetnya masya allah nginput nik gagal udah bener input pekerjaan gak akurat gagal mencet keyboard aja ngelag pake menit memutuskan batal bikin rekeningnya langsung dihapus aplikasi mending sebelah aja,1,Negatif
bagus berguna membatu permudah pembarayaran gak ribet repot,5,Positif
transfer biaya adminya min udah bangkrut yah,1,Negatif
enak pakainya ga ribet,5,Positif
mentok selfi terang terbuka ga berhasil aplikasi busuk selfi udah muka yg terang aplikasi sampah,1,Negatif
aplikasi tolong gak top up sinyal kuat kuota unlimited hp memadai nomer dimasukan lantas nya gulung tikar aplikasi kecewa pisan,5,Positif
aplikasi norak pengen ganti bca aja,1,Negatif
payah bari buka livin booting logo livin transaksi kendala koneksi internet bermasalah pakai wifi paket data payah bintang,1,Negatif
aplikasi mantappp,5,Positif
mental mulu login,1,Negatif
senang nggak yahh notifikasi sms nya masuk download nomor aktif,3,Positif
perbaikan aplikasi gagal masuk kemarin ga kendala livin intinya gagal masuk,1,Negatif
please support pay latter and kredit card,5,Positif
pinjaman tunai,5,Positif
cepat,5,Positif
eror gak dibuka livinya,1,Negatif
verifikasi wajah kga udah costumer servis kga solusi tolong dlu kga ribet banget kaya gini,1,Negatif
jam transaksiaplikasi mandiri bagus tolong diperbaiki liat ranting tandanya aplikasi membantu mempermudah transaksi,1,Negatif
livin lgi gangguan kh,2,Negatif
walah maintenance tidan transaksi,1,Negatif
transfer bank bri status berhasil uang masuk penerima kacau,1,Negatif
maintenance malam habis transaksi error aduh aduh,2,Negatif
kecewa aplikasi bertransaksi dr malam jam wib situasi urgent perjalanan dilokasi layanan mesin tolong perbaiki donk systemnya,1,Negatif
b ajaa,1,Negatif
livin mandiribaguss,5,Positif
tolong dev ga masuk akun blom kartu debit nya,4,Positif
malam dipakaikarena mantenancebagaimana bayar malam gaada cashgajadi beli deh,1,Negatif
susah login,3,Positif
yg bener transaksi nya berhasil transfer giliran cek ga uang yg masuk tolong perbaiki blm kejelasan mandiri nya,3,Positif
udah dire start tetp ahh ga bisamalay disuruh k bank mandir i terdekat,3,Positif
aplikasi lambat kartu debit verivikasi wajah aja mjnta ampun emang aplikasi gak memudahkan,1,Negatif
paylater nya min,1,Negatif
livin mandiri gk fitur ksm nya power cash gitu udah taun payroll mandiri blum penawaran pinjaman,4,Positif
juooos,5,Positif
aplikasi bagus banget ganti hp masuk livin susah banget,4,Positif
login aplikasi force close,1,Negatif
sebernya lebaran sistem keuangan libur nihh jam bank tutup jam,1,Negatif
lilin membantu berjualan beli trimakasih livin,5,Positif
dana investasi mas bikin gerah aja,1,Negatif
mempermudah pendaftaran bank realita foto ngeblur repot aja disuruh langsung bank livinn kocakkkkk,1,Negatif
terhubung kemarin,1,Negatif
aplikasi bank bodoh indonesia sudi turunan kalo pakai aplikasi,1,Negatif
gak bukak un instal lagingisi data verifikasi,1,Negatif
bank mandiri tolong penjelasan kartu kenak biaya kartu debit rp smpek dipotong x dibulan juni tgl mohon tanggapannya terimakasih,1,Negatif
loginya gimana suruh masukan nomer kartu pdhal ga kartunya,3,Positif
pelayan nyaman,5,Positif
verifikasi wajah aja banget pedahal aplikasi lancar aja,5,Positif
aplikasinya jelek,1,Negatif
udh masuk gabisa bacaannya berhasil terhubung gimana dongg livinnn kekgini sihhh gangguan gak gini diluar negeri susahhhh dah gini,1,Negatif
ga kirim uang seabank e waletsebelum nya lancar aja tp ga,4,Positif
respon cepat mngenai apl yg tdk bs,4,Positif
gajian tertahan,5,Positif
aplikasi eror bugkhususnya hp samsung zfold tolong perbaiki,1,Negatif
dah saldo sy transaksi tp gagal gagal gagal mulu hedeh sia deh uang sy kesel,1,Negatif
bank buruk layanan call center buruk aplikasi buruk ga solusi hubungi call center ga respon ga solusi nya keperluan gaji ogah banget pake mandiri,1,Negatif
livin gimana gue ngak login,4,Positif
si lelet si lemot cs respon jelek,1,Negatif
maaf ko livin susah kebuka,5,Positif
aplikasi susah verifikasi wajah ulang ulang berkedip berhasil,2,Negatif
sempurna dang mudah mudah proses transaksi apapun ragu menyimpan nominal,5,Positif
aplikasi nya bagus sisa saldo livin bang mandiri coba sisa saldo nya dikurangin sekian,5,Positif
napa growin mandiri dibuka,3,Positif
aplikasi suka eror kadang akses,3,Positif
aplikasi mbanking parah ku pakai,2,Negatif
mudah dlm bertransaksi mengunakan livin by mandiri tks,5,Positif
proper,5,Positif
ruwet,1,Negatif
ngirim masukin pswrd eror,1,Negatif
livin dibuka gimana transaksi buku rekening,2,Negatif
bagussangat membantu,5,Positif
mudah pake aplikasi cuman kekuaranganya gak aplikasi bank transaksi berhasil resi bukti berhasil email laporannya berhasil tujuanya masuk jam,4,Positif
aplikasi konyol lemot ribet kagak gangguan gak angin gak hujannusahin orang aja,1,Negatif
mbanking payah malam ga transaksi bikin malu udh diminimarket kasir,1,Negatif
jam malam ga transaksi aplikasi cct,1,Negatif
maintenance mulu perasaan malem,1,Negatif
tolong topup shopeepay dana gagal saldo berkurang top up nya gagal tolong bantuannya nihh transaksi jam malam emang error gini,1,Negatif
aplikasi udah bagus mulus m banking jeleknya malem maintenancenya banget kalo urgent banget ga cash bingung dah transaksi gimana,1,Negatif
maintenance malem dengerin keluhan nasabahmu udh keluhkan tp gak ad tindakan dev nya,1,Negatif
fitur tap to pay hp gak buka bacaan nya tunggu,1,Negatif
apalah aplikasi,1,Negatif
mudah layanan internet mobile banking bank mandiri,5,Positif
maintenance mulu ah giliran pake butuh banget maintenance,1,Negatif
kacau mencoba masuk livin banking dibilang perbaikan,2,Negatif
livin mandiri transper coba e wallet bank tolong diperbaiki,1,Negatif
kwbanyakan maintenance malam,2,Negatif
buru masak iya daftar login pakek hp infinix kode klavikasi wajah kecewa banget,1,Negatif
livin mandiri trf metode bi fast lg maintanance livin,1,Negatif
akses mbanking,1,Negatif
livin anh mlm maentance aja bikin ribet,1,Negatif
aplikasi susah masuknya,1,Negatif
mohon d bantu admin daftar livin gagal buku tabungansaya k kantor mandiri gak penyelesaian nyamasih gagal daftar livin mohon d tanggapi,1,Negatif
lemot bgt masuk aplikasi ga sampah,1,Negatif
gimna transfer kedana berhasil tapisaldo ga masuk,4,Positif
mohon bantuannya login livin by mandirisudah login susah registrasi nyatulisannya gagal login by mandiri rpt mohon ditindak lanjuti transaksi lancar aman trimakasih,3,Positif
mandiri kalo log in masukin nomer kartu skarang yg bkin rekening gk pake kartu susah yg simple gk bank langsung,3,Positif
saldo bertambah bukti transfer terkirim,2,Negatif
aplikasi livin login d hp tdk sdh vermuk tp lgi k menu masukan no krtu lg bgt strus nya,2,Negatif
min top up dana saldo ud kepotong saldonya gak masuk akun dana coba responnya cepet min ribu min,1,Negatif
bank mandiri transfer dana bagus tampil tersimpan,5,Positif
bagus aplikasinya,5,Positif
cek mutasi gak jaringan bagus kayak gini ntar kalo hilang duit ganti,2,Negatif
livin ganguan gk nyaman aja pakai nya,3,Positif
min isi pulsa aplikasi livin kemaren tuh kalo ga salah status top up berhasil ko gada masuk pulsanya nomer udah kali cek nomer ga salah knpa,3,Positif
eror memasukkan password,1,Negatif
selamat malam bapakibusaya login dihp daftar dihp terimakasih,5,Positif
aplikasi apasih gagal mulu gabisa bikin aplikasi gak bikin transaksi pengen mudah ribet pakai aja bos biru gangguan aplikasi kuning,5,Positif
knpa mengakses aplikasi livin trus muncul tulisan layanan perbaikan,2,Negatif
knapa ko fitur notif pemberintahuannya masuknya kadang binggung cek tf dr orang tuh gabisa cek gabisa lihat bener udh masuk belom mohon ka direspon notifnya terumakasih,4,Positif
pas intip saldo peringatan sistem cek data min,4,Positif
suka eror keterangan uang masuk uang keluarnya ga muncul,1,Negatif
registrasi ulang ribet transaksi bolak registrasi ulang,1,Negatif
ayolah pake alasan hp diroot dichek device gak root tolong perbaiki aksesnya merugikan pengguna hp second gak akses livin,2,Negatif
ad yg tranfer ngk masuk udah brasil,1,Negatif
gak intip saldo,3,Positif
baangat,5,Positif
aplikasi gw login kgk erorr mulu bilangnya tpi udh berhari dibenerinnya udh lhoo kgk mulu klo gaji ga mandiri udh gw ganti bca ga menit udh,1,Negatif
tutup rekening aplikasi nya habis terdaftr norekening nya aplikasinya hapus download d playstore gak masukan lgi id paswdnya dibilang buka rekening kartu debit bikin ulang rekening udh terdftar masuk pke kartu kartunya aja gak dpat lgi bru bikin hpus sma anak klo penutupan rekening yg dlu lgi bkin rekening,2,Negatif
habis download dibuka nggak dr kemarin coba,3,Positif
mengaalami verifikasi wajah meneruspadahal cobatapi bisaa,1,Negatif
sore terlog out pas masukin nomor kartu dibilang kartu terblokir kartu aman aman bank tutup sore cuti senin,1,Negatif
daftar levin mandiri masuk nya ko kali nomor rek pakai masuk email tunggu nomor rekening sedan proses nya,5,Positif
min gimna nya masuk livin lupa password ga tau no kartu nya,5,Positif
aplikasi nya bermasalah ajah jdi susah login,1,Negatif
tolong gak dapet email nomer kartu fisiknya login mohon bantuannya,3,Positif
update terbaru dimana tampilan saldonya,2,Negatif
apalah nda buka aplikasi ngana gimana ahh,1,Negatif
kadang susah log inmeski sinyal kuatpemberitahuan sistem pengecekan ulangwlw hp d risetaplikasi d apdttetep susah log in,2,Negatif
kemana fitur aktifkan kartu aktif update kaya gini tambahkan fitur aktifkan kartu berstatus aktif,4,Positif
ampun dah perihal perubahan pass pass kalo ga samapernah kepake yaa gimana org gampang lupa blokir,2,Negatif
uang transaksi berhasil kerekening penerima gk masuk udah x kayak gini parah emang mandiri,1,Negatif
login tulisannya berhasil terhubung solusi nya gimana,2,Negatif
livin mudah amaan,5,Positif
complete applications and easy,5,Positif
livin mandiri lucu culunmasa ngasih code otp angkasedangkan yg masuk hadehada aplikasi ky giniky bangunan daptar aja ko ribetgimana klu pinjamcoba benerin,1,Negatif
gi pas tarik uang ga udah terkirim udah kepotong masuk,2,Negatif
developer gimana rekening aktif mengisi rekening uang nya diambil tolong saransolusinya,1,Negatif
teransper gimana kemarem,4,Positif
susah verifikasi wajah udah bener gagal mulu,1,Negatif
aplikasi gak dibuka,3,Positif
perbarui nya tamba baguss tmba jelaekkk liat rekening aja gk bisaaa bintang cukupp,1,Negatif
membantuaflikasi bagus mudah canggih,5,Positif
buka tabungan ga abis foto ktp verifikasi abis selesai ngga lanjutan isi nomor ottp dll cs,1,Negatif
bank mandiri gimana sie bkin livin susah amatpadahal sy comfir update data cabang mandiri laluttp aja blom,1,Negatif
transfer valas hongkong lambat jam masuklaporan mandiri disuruh nunggu max juni butuh gini pengen teriak,1,Negatif
gampang penggunaan nya,5,Positif
gabisa buka aplikasi nya,5,Positif
kasih saran yaa tuh jaman nya digital coba bikin buku tabungan digital unsur screenshot nama nomor rekening info bank mengunggah data sulit ganti rek ecommerce suruh screenshot livin nya tolak unsur haduhh,1,Negatif
kasih bintang data bilang slh nya,1,Negatif
sorry bintang dri semaleman maintenance mulu stiap masuk aplikasi mbangkin kluar sndiri salah alasan knapa ga bgtu percaya bank payah nnti klo udh bintang satunya ilangin,1,Negatif
mbanking ribet daftar aja suruh ulangi password udah ulang i udh ctg bener,1,Negatif
maju mandiri,5,Positif
amnah,5,Positif
aplikasi isinya maintenance mulu,1,Negatif
knp living bsa buka,5,Positif
stiap subuh gangguan ngirimin anak duit susah gak gangguan nya sebulan jngan pemeliharaan pemeliharaan nya bagus jelek,1,Negatif
gangguan mulu kalo malam,2,Negatif
pokoknya kalo malam wajib dilarang aktifitas parah livin mandiri,1,Negatif
maintenance trus pp,1,Negatif
livin lupa sandi password kasih tau nya terblokir,1,Negatif
tolong perbaiki aplikasi livinnyakita mentransfer biaya adminnya transfer beda rekening biaya adminnya,1,Negatif
perbaiki gak aplikasi inikalau gak uninstal ajamasak ganguan nya berjam jamsaya transaksi cepat tertunda,1,Negatif
juni saldo direkening berkurang rb rb semoga bank mandiri livin ambil langkah cepat perhatian khusus yg korban lakukan sperti semoga pelanggan hati hati waspada screenshot catat saldo selesai transaksi pencurian mengambil uang tp rutin spertinya,1,Negatif
aplikasi masuk aja susah kah maintenance gimana bener kayak gini nasabah bikin kecewa,1,Negatif
livin transfer solusinya,1,Negatif
ga koneksi koneksi bagus,1,Negatif
aman transaksi mudah gk ribet,5,Positif
livin ngk masuk,5,Positif
malem gangguan tolong perbaiki bank gedek kek gini,1,Negatif
memuaskan transaksi,5,Positif
kali buka livin mandiri gagal mlh muncul tulisan mengecek inisilah kn coba lgi bolak buka ttp trustolong tingkat kn kwalitas nya yg terbaik,1,Negatif
admin livin mandiri login tertulis berhasil terhubung seharian nya transaksi ambil uang gak tolong bantu perbaiki terimakasih,5,Positif
aplikasi ribet susah make kasinbintang udah,1,Negatif
alhamdulullah livin sdah bsa d,4,Positif
mantap administrasi bulanan alhamdulillah murah sukses aamiin yra,5,Positif
susah vermukudah berkali kali g loginparah,1,Negatif
bismillah semoga menabung aman aman amin,5,Positif
minggu aplikasi tdk buka tolong penyebab nya gara tdk buka sya transaksi jdi sulit krna uang smua,3,Positif
livin payah vermuk ga ganti hp ga diakses livin developer mines pelayanan csnya mines,1,Negatif
hp zenfone login sulit tampilan berhasil terhubung aplikasi sdh up to date,2,Negatif
login perangkat aja ribetnya ampun kebanyakan kendala gk hadeuhhh cabang tawarin mulu pake livin tau ginimah gak bikin hadeh,1,Negatif
pakai livin by mandiri trasaksi keuangan mudah by mandiri top,5,Positif
livin berhenti,1,Negatif
aplikasi op no lemot toplah livin semoga sukses,5,Positif
aneh banget bikin akun aja ga valid data dimasukkan dak sesuai kartu udh rekening gini tolong fitur langsung yg menghubungkan cs konsultasi,2,Negatif
livin buka kalo pake wifi aja,5,Positif
livin gak buka,2,Negatif
sampah banget bjirr biaya pembuatan aplikasi korupsi cok,2,Negatif
livin mantul,5,Positif
coba make bank mandiri semoga memuaskan,5,Positif
terbaik,5,Positif
livin menemukan komunikasi layanan live chat kendala transferan masuk dsb,1,Negatif
ksm nya hilang,3,Positif
gak buka aplikasinya,1,Negatif
sayang,2,Negatif
aplikasi memudahkan transaksi keluhan aplikasi livin masuk aplikasinya membukanya task bar sekian terima kasih,3,Positif
mandiri gangguan kah bos,5,Positif
dri kmren daftar livin gak tros maintenance trus udah,1,Negatif
bagus peningkatan pelayanan aplikasi mempermudah nasabah transaksi n semoga mandiri memperbarui pelayanan pengamanan data nasabahnya,5,Positif
memeper sulit aplikasi dk bergguna buknyaa mepermudh nasbah mlh persulit,1,Negatif
ko livinby mandiri g buka ylupa katasandi jdi g buka tulisan proses,1,Negatif
oy knpa saldo tertahan sya angsurn apapun dlm mandiri knpa saldo tahan gajelas,1,Negatif
mempermudah kegiatan,5,Positif
paraaahhhh verifikasi wajah susahhhh banget udah jam terusss melotot kedap kedip gagal tolong diperbaiki ga fitur merepotkan,1,Negatif
aplikasi nggak login aja susah pin udah bener pake ngatur jam tanggal otomatis udh ikutin jga cuman verif akun google doang,1,Negatif
bank mandiri tahantahan saldo,1,Negatif
top bgt,5,Positif
isi saldo girinan tranfer,1,Negatif
lumayan suka pakai aplikasi maintenance selesaiselesai,2,Negatif
susah masuk,5,Positif
vermuknya yg g bisasmua data sdh perbaiki vermuknya g bs login trus diulang,2,Negatif
tanggal juni livin dibuka perangkatsudah cs mandiri terdekat suruh ganti hp aplikasi yg bermasalah koq hp yg suruh ganti,1,Negatif
selamat pagi livin buka mhon bantuanya terima kasih,5,Positif
e banking mandiri sya transfer dana ga nominal transfer nominal,4,Positif
mengertiiii,1,Negatif
suka lemot susah buka aplikasinya,3,Positif
aplikasi mobile banking yg gangguan jm mlm smpai harap perbaiki cm bunga administrasi aj yg slalu tpi pelayanan buruk,1,Negatif
kalo jam jam gak dipakai transfer tolong diperbaiki mengganggu sekian terima kasih,2,Negatif
good joobtop up shopee pay berhasil gk saldo langsung,5,Positif
potongan yg gk udah potongan perbulan deper potongan yg lgi aneh banget kyak porotin klo isinya potong kjelasan,1,Negatif
aplikasi malam,1,Negatif
akses jam,1,Negatif
saia lupa password gak login,1,Negatif
menu top ksm,5,Positif
kak transfer uang dana tulisan nya nomor temukan nomor mindah aplikasi licin mndiri hp hp tolong bahas,2,Negatif
susah acc pengambilan foto selfie mudah,1,Negatif
jam gangguanpadahal darurat gabisa pake hadeh,1,Negatif
gangguan trusdkit pemeliharan,2,Negatif
kacau neh gak pakai muncul tulisan berhasil terhubung sinyal bagus nonton youtube lancar kenapaa iniiii,1,Negatif
daftar livin kartu kredit buku rekening,5,Positif
bang tolong akun sya transaksi nama rahmat hidayat,1,Negatif
install tab samsung,1,Negatif
ko gak teransaksi bayar tagihan livin gak teransaksi gimana udah uang nya nyangkut,1,Negatif
tolong perbaiki sistemnya terblokir saldo nya gk buka karna gk kartunya bank lansung karna perkampungan,1,Negatif
bank bri transfer mandiri transfer saldo lazada bank mandiri yg masuk admin lancar mengecewakan kejadian aja,1,Negatif
biar terhubung livin gimana verif wajah aplikasi gak,1,Negatif
aplikasi verif selfie wajah menyulitkan udh disetting rupa,1,Negatif
alhamdulillah bagus,5,Positif
rusak kah unistall ga login,1,Negatif
aplikasi linvin gak handphone tipe oppo bru beli hp bru,4,Positif
udah daftar terima rekening kerumah lupa kpencet masuk aplnya knpa mhon permudah,5,Positif
aplikasi mutar verifikasi ktp berhasil mlah arahkan verifikasi ktp lgi uninstal kyak nya,1,Negatif
gabisa login tulisannya layanan tersedia udah seminggu gitu,3,Positif
membuka aplikasi livin,2,Negatif
banget trouble not recommended,1,Negatif
